JENIS KOMODITAS/SEKTOR;TICKER;NAMA PT
COPPER & GOLD;AMMN;Amman Mineral Internasional Tbk PT
COPPER & GOLD;MDKA;Merdeka Copper Gold Tbk PT
COPPER & GOLD;BRMS;Bumi Resources Minerals Tbk PT
COPPER & GOLD;PSAB;J Resources Asia Pasifik Tbk PT
GOLD & SILVER;ARCI;Archi Indonesia Tbk PT
GOLD;HRTA;Hartadinata Abadi Tbk PT
COPPER;SCCO;Supreme Cable Manufacturing & Com
COPPER;KBLI;KMI Wire and Cable Tbk PT
COPPER;TBMS;Tembaga Mulia Semanan Tbk PT
COPPER;JECC;Jembo Cable Company Tbk PT
COPPER & GOLD;SOMI;PT Wilton Makmur Indonesia Tbk
COPPER & GOLD;INDY;Indika Energy Tbk PT
COAL;ADRO;Adaro Energy Indonesia Tbk PT
COAL;PTBA;Bukit Asam (Persero) Tbk PT
COAL;ITMG;Indo Tambangraya Megah Tbk PT
COAL;HRUM;Harum Energy Tbk PT
COAL;BUMI;Bumi Resources Tbk PT
COAL;INDY;Indika Energy Tbk PT
COAL;ADMR;PT Adaro Minerals Indonesia Tbk
COAL;PTRO;Petrosea Tbk PT
COAL;BSSR;Baramulti Suksessarana Tbk PT
COAL;DOID;PT BUMA Internasional Grup Tbk
COAL;CUAN;PT Petrindo Jaya Kreasi Tbk
COAL;BYAN;Bayan Resources Tbk PT
COAL;ABMM;ABM Investama Tbk PT
COAL;MBAP;Mitrabara Adiperdana Tbk PT
COAL;GEMS;Golden Energy Mines Tbk PT
COAL;TOBA;TBS Energi Utama Tbk PT
COAL;FIRE;Alfa Energi Investama Tbk PT
COAL;TPMA;Trans Power Marine Tbk PT
COAL;SGER;Sumber Global Energy Tbk PT
COAL;DEWA;Darma Henwa Tbk PT
COAL;KKGI;Resource Alam Indonesia Tbk PT
COAL;SMMT;Golden Eagle Energy Tbk PT
COAL;MBSS;Mitrabahtera Segara Sejati Tbk PT
COAL;BIPI;PT Astrindo Nusantara Infrastruktur Tbk
COAL;BOSS;Borneo Olah Sarana Sukses Tbk PT
COAL;IATA;PT MNC Energy Investments Tbk
COAL;COAL;Black Diamond Resources Tbk PT
COAL;MAHA;Mandiri Herindo Adiperkasa Tbk PT
COAL;TCPI;Transcoal Pacific Tbk PT
COAL;MYOH;Samindo Resources Tbk PT
COAL;DSSA;Dian Swastatika Sentosa Tbk PT
COAL;MCOL;Prima Andalan Mandiri Tbk PT
COAL;ITMA;Sumber Energi Andalan Tbk PT
COAL;TEBE;Dana Brata Luhur Tbk PT
COAL;RMKE;RMK Energy PT Tbk
COAL;PKPK;Perdana Karya Perkasa Tbk PT
COAL;GTBO;Garda Tujuh Buana Tbk PT
COAL;UNIQ;Ulima Nitra Tbk PT
COAL;ARII;Atlas Resources Tbk PT
COAL;HATM;Habco Trans Maritima Tbk PT
OIL & GAS;PGAS;Perusahaan Gas Negara Tbk PT
OIL & GAS;MEDC;Medco Energi Internasional Tbk PT
OIL & GAS;ELSA;Elnusa Tbk PT
OIL & GAS;AKRA;AKR Corporindo Tbk PT
OIL & GAS;ENRG;Energi Mega Persada Tbk PT
OIL & GAS;RAJA;Rukun Raharja Tbk PT
OIL & GAS;SOCI;Soechi Lines Tbk PT
OIL & GAS;BULL;Buana Lintas Lautan Tbk PT
OIL & GAS;WINS;Wintermar Offshore Marine Tbk PT
OIL & GAS;CGAS;Citra Nusantara Gemilang Tbk PT
OIL & GAS;HUMI;Humpuss Maritim Internasional Tbk
OIL & GAS;LEAD;Logindo Samudramakmur Tbk PT
OIL & GAS;APEX;Apexindo Pratama Duta Tbk PT
OIL & GAS;SICO;Sigma Energy Compressindo Tbk PT
OIL & GAS;RUIS;Radiant Utama Interinsco Tbk PT
OIL & GAS;RIGS;Rig Tenders Indonesia Tbk PT
